"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 12 16:17:10 GMT 2025","Thu Jun 12 16:17:11 GMT 2025","589","tests.test_backend.project","test_project","","","","Тест: Проверка разархивации проекта",""
"passed","Thu Jun 12 16:16:50 GMT 2025","Thu Jun 12 16:16:51 GMT 2025","291","tests.test_backend.board","board_validation_test","","","","Валидация поля limit: 123",""
"passed","Thu Jun 12 16:17:12 GMT 2025","Thu Jun 12 16:17:16 GMT 2025","3195","tests.test_backend.space","test_space","","","","Test remove space success",""
"passed","Thu Jun 12 16:16:45 GMT 2025","Thu Jun 12 16:16:45 GMT 2025","233","tests.test_backend.board","board_validation_test","","","","Валидация: создание борды с именем — ожидаемый статус 400",""
"passed","Thu Jun 12 16:17:05 GMT 2025","Thu Jun 12 16:17:07 GMT 2025","1745","tests.test_backend.project","test_project","","","","Тест: Проверка slug: уникальность до создания, неуникальность после создания, и ошибка при дубликате",""
"passed","Thu Jun 12 16:16:59 GMT 2025","Thu Jun 12 16:17:00 GMT 2025","545","tests.test_backend.board","test_board","","","","Создание кастомного поля типа: Boolean",""
"passed","Thu Jun 12 16:17:09 GMT 2025","Thu Jun 12 16:17:10 GMT 2025","756","tests.test_backend.project","test_project","","","","Тест: Проверка получения проекта по ID",""
"passed","Thu Jun 12 16:16:46 GMT 2025","Thu Jun 12 16:16:46 GMT 2025","266","tests.test_backend.board","board_validation_test","","","","Валидация: создание борды с именем — ожидаемый статус 200",""
"passed","Thu Jun 12 16:16:46 GMT 2025","Thu Jun 12 16:16:47 GMT 2025","454","tests.test_backend.board","board_validation_test","","","","Создание борды с описанием максимальной длины(Поле отсутствует на фронте)",""
"passed","Thu Jun 12 16:17:01 GMT 2025","Thu Jun 12 16:17:02 GMT 2025","623","tests.test_backend.board","test_board","","","","Редактирование кастомного поля типа: Text",""
"passed","Thu Jun 12 16:16:51 GMT 2025","Thu Jun 12 16:16:52 GMT 2025","209","tests.test_backend.board","board_validation_test","","","","APP-2763: Ошибка при создании борды с длинным заголовком custom field: Date",""
"passed","Thu Jun 12 16:16:56 GMT 2025","Thu Jun 12 16:16:56 GMT 2025","196","tests.test_backend.board","test_board","","","","Ошибка при попытке получить борду по несуществующему boardId",""
"passed","Thu Jun 12 16:16:56 GMT 2025","Thu Jun 12 16:16:56 GMT 2025","528","tests.test_backend.board","test_board","","","","Получение борды по boardId через /GetBoard",""
"passed","Thu Jun 12 16:16:58 GMT 2025","Thu Jun 12 16:16:58 GMT 2025","739","tests.test_backend.board","test_board","","","","Редактирование группы через /EditBoardGroup: проверка обновления имени, описания, лимита и скрытия",""
"passed","Thu Jun 12 16:17:01 GMT 2025","Thu Jun 12 16:17:01 GMT 2025","322","tests.test_backend.board","test_board","","","","Создание кастомного поля типа: Select",""
"passed","Thu Jun 12 16:17:01 GMT 2025","Thu Jun 12 16:17:01 GMT 2025","282","tests.test_backend.board","test_board","","","","Создание кастомного поля типа: TaskRelations",""
"passed","Thu Jun 12 16:17:10 GMT 2025","Thu Jun 12 16:17:10 GMT 2025","250","tests.test_backend.project","test_project","","","","Тест: Проверка редактирования имени проекта",""
"passed","Thu Jun 12 16:17:05 GMT 2025","Thu Jun 12 16:17:05 GMT 2025","547","tests.test_backend.board","test_board","","","","Редактирование поля Select: добавление новых опций с валидным _id",""
"passed","Thu Jun 12 16:16:46 GMT 2025","Thu Jun 12 16:16:46 GMT 2025","269","tests.test_backend.board","board_validation_test","","","","Валидация: создание борды с именем — ожидаемый статус 400",""
"passed","Thu Jun 12 16:16:52 GMT 2025","Thu Jun 12 16:16:52 GMT 2025","203","tests.test_backend.board","board_validation_test","","","","APP-2763: Ошибка при создании борды с длинным заголовком custom field: TaskRelations",""
"passed","Thu Jun 12 16:16:52 GMT 2025","Thu Jun 12 16:16:52 GMT 2025","243","tests.test_backend.board","test_board","","","","Создание борды в существующем проекте и корректность возвращаемого имени",""
"passed","Thu Jun 12 16:16:45 GMT 2025","Thu Jun 12 16:16:46 GMT 2025","205","tests.test_backend.board","board_validation_test","","","","Валидация: создание борды с именем — ожидаемый статус 400",""
"passed","Thu Jun 12 16:17:08 GMT 2025","Thu Jun 12 16:17:09 GMT 2025","283","tests.test_backend.project","test_project","","","","Тест: Проверка предельной длины описания проекта",""
"passed","Thu Jun 12 16:16:52 GMT 2025","Thu Jun 12 16:16:52 GMT 2025","203","tests.test_backend.board","board_validation_test","","","","APP-2763: Ошибка при создании борды с длинным заголовком custom field: Member",""
"passed","Thu Jun 12 16:17:08 GMT 2025","Thu Jun 12 16:17:08 GMT 2025","212","tests.test_backend.project","test_project","","","","Создание проекта с невалидным slug (не латиница)",""
"passed","Thu Jun 12 16:16:49 GMT 2025","Thu Jun 12 16:16:49 GMT 2025","236","tests.test_backend.board","board_validation_test","","","","Валидация поля description: Обычное описание",""
"passed","Thu Jun 12 16:16:47 GMT 2025","Thu Jun 12 16:16:47 GMT 2025","238","tests.test_backend.board","board_validation_test","","","","Валидация поля name: ",""
"passed","Thu Jun 12 16:17:04 GMT 2025","Thu Jun 12 16:17:05 GMT 2025","532","tests.test_backend.board","test_board","","","","Редактирование кастомного поля типа: TaskRelations",""
"passed","Thu Jun 12 16:16:48 GMT 2025","Thu Jun 12 16:16:48 GMT 2025","203","tests.test_backend.board","board_validation_test","","","","Валидация поля name: AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"passed","Thu Jun 12 16:16:46 GMT 2025","Thu Jun 12 16:16:46 GMT 2025","240","tests.test_backend.board","board_validation_test","","","","Валидация: создание борды с именем — ожидаемый статус 200",""
"passed","Thu Jun 12 16:16:45 GMT 2025","Thu Jun 12 16:16:45 GMT 2025","673","tests.test_backend.board","board_validation_test","","","","Валидация: создание борды с именем — ожидаемый статус 400",""
"passed","Thu Jun 12 16:17:00 GMT 2025","Thu Jun 12 16:17:00 GMT 2025","275","tests.test_backend.board","test_board","","","","Создание кастомного поля типа: Date",""
"passed","Thu Jun 12 16:17:03 GMT 2025","Thu Jun 12 16:17:04 GMT 2025","626","tests.test_backend.board","test_board","","","","Редактирование кастомного поля типа: Date",""
"passed","Thu Jun 12 16:16:59 GMT 2025","Thu Jun 12 16:16:59 GMT 2025","899","tests.test_backend.board","test_board","","","","Создание кастомного поля типа: Number",""
"passed","Thu Jun 12 16:16:50 GMT 2025","Thu Jun 12 16:16:50 GMT 2025","237","tests.test_backend.board","board_validation_test","","","","Валидация поля limit: 999",""
"passed","Thu Jun 12 16:16:49 GMT 2025","Thu Jun 12 16:16:49 GMT 2025","276","tests.test_backend.board","board_validation_test","","","","Валидация поля description: None",""
"passed","Thu Jun 12 16:17:12 GMT 2025","Thu Jun 12 16:17:12 GMT 2025","493","tests.test_backend.space","test_space","","","","Test edit space name",""
"passed","Thu Jun 12 16:17:11 GMT 2025","Thu Jun 12 16:17:12 GMT 2025","550","tests.test_backend.space","test_space","","","","Test create space visible in list",""
"passed","Thu Jun 12 16:16:50 GMT 2025","Thu Jun 12 16:16:50 GMT 2025","262","tests.test_backend.board","board_validation_test","","","","Валидация поля limit: None",""
"passed","Thu Jun 12 16:17:12 GMT 2025","Thu Jun 12 16:17:12 GMT 2025","160","tests.test_backend.space","test_space","","","","Test space name length limit",""
"passed","Thu Jun 12 16:17:03 GMT 2025","Thu Jun 12 16:17:03 GMT 2025","589","tests.test_backend.board","test_board","","","","Редактирование кастомного поля типа: Boolean",""
"passed","Thu Jun 12 16:16:52 GMT 2025","Thu Jun 12 16:16:52 GMT 2025","209","tests.test_backend.board","board_validation_test","","","","APP-2763: Ошибка при создании борды с длинным заголовком custom field: Select",""
"passed","Thu Jun 12 16:17:08 GMT 2025","Thu Jun 12 16:17:08 GMT 2025","214","tests.test_backend.project","test_project","","","","Создание проекта с пустым названием",""
"passed","Thu Jun 12 16:16:53 GMT 2025","Thu Jun 12 16:16:54 GMT 2025","1130","tests.test_backend.board","test_board","","","","Получение списка борд: проверка, что все созданные борды присутствуют в ответе(board_names)",""
"passed","Thu Jun 12 16:17:10 GMT 2025","Thu Jun 12 16:17:10 GMT 2025","255","tests.test_backend.project","test_project","","","","Тест: Проверка архивации проекта",""
"passed","Thu Jun 12 16:16:54 GMT 2025","Thu Jun 12 16:16:56 GMT 2025","1212","tests.test_backend.board","test_board","","","","Получение списка борд: проверка созданных борд и их обязательных полей(name, projectId, createdAt)",""
"passed","Thu Jun 12 16:16:53 GMT 2025","Thu Jun 12 16:16:53 GMT 2025","253","tests.test_backend.board","test_board","","","","Ошибка при создании борды с None вместо списков в полях groups/typesList/customFields",""
"passed","Thu Jun 12 16:17:09 GMT 2025","Thu Jun 12 16:17:09 GMT 2025","293","tests.test_backend.project","test_project","","","","Создание проекта с пустым описанием",""
"passed","Thu Jun 12 16:16:48 GMT 2025","Thu Jun 12 16:16:48 GMT 2025","205","tests.test_backend.board","board_validation_test","","","","Валидация поля description: DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD",""
"passed","Thu Jun 12 16:17:00 GMT 2025","Thu Jun 12 16:17:01 GMT 2025","282","tests.test_backend.board","test_board","","","","Создание кастомного поля типа: Member",""
"passed","Thu Jun 12 16:16:57 GMT 2025","Thu Jun 12 16:16:58 GMT 2025","687","tests.test_backend.board","test_board","","","","Добавление новой группы в борду через /CreateBoardGroup: проверка имени, описания и изменения количества групп",""
"passed","Thu Jun 12 16:17:07 GMT 2025","Thu Jun 12 16:17:07 GMT 2025","219","tests.test_backend.project","test_project","","","","Тест: Проверка предельной длины slug",""
"passed","Thu Jun 12 16:16:56 GMT 2025","Thu Jun 12 16:16:57 GMT 2025","468","tests.test_backend.board","test_board","","","","Редактирование борды: изменение имени через /EditBoard",""
"passed","Thu Jun 12 16:16:50 GMT 2025","Thu Jun 12 16:16:50 GMT 2025","261","tests.test_backend.board","board_validation_test","","","","Валидация поля limit: 1000",""
"passed","Thu Jun 12 16:16:51 GMT 2025","Thu Jun 12 16:16:51 GMT 2025","197","tests.test_backend.board","board_validation_test","","","","APP-2763: Ошибка при создании борды с длинным заголовком custom field: Number",""
"passed","Thu Jun 12 16:17:08 GMT 2025","Thu Jun 12 16:17:08 GMT 2025","210","tests.test_backend.project","test_project","","","","Тест: Проверка предельной длины имени проекта",""
"passed","Thu Jun 12 16:16:48 GMT 2025","Thu Jun 12 16:16:48 GMT 2025","269","tests.test_backend.board","board_validation_test","","","","Валидация поля name: AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA",""
"passed","Thu Jun 12 16:16:47 GMT 2025","Thu Jun 12 16:16:48 GMT 2025","253","tests.test_backend.board","board_validation_test","","","","Валидация поля name: None",""
"passed","Thu Jun 12 16:17:10 GMT 2025","Thu Jun 12 16:17:10 GMT 2025","256","tests.test_backend.project","test_project","","","","Тест: Проверка списка проектов",""
"passed","Thu Jun 12 16:16:51 GMT 2025","Thu Jun 12 16:16:51 GMT 2025","203","tests.test_backend.board","board_validation_test","","","","APP-2763: Ошибка при создании борды с длинным заголовком custom field: Boolean",""
