"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","496","Пустой результат при отсутствии документов (kind=Member)","tests.test_backend.document","Mon Nov 10 09:04:48 UTC 2025","passed","Mon Nov 10 09:04:49 UTC 2025","","test_get_documents","",""
"","874","Повторный запрос одного и того же документа (kind=Project)","tests.test_backend.document","Mon Nov 10 09:04:38 UTC 2025","passed","Mon Nov 10 09:04:39 UTC 2025","","test_get_document","",""
"","316","Создание документа в роли owner - с передачей kind=Member и kindId (ожидается 200)","tests.test_backend.document","Mon Nov 10 09:04:00 UTC 2025","passed","Mon Nov 10 09:04:00 UTC 2025","","test_create_document","",""
"
    Глубокая вложенность: проверяем цепочку parents.
    ","2115","Проверяем глубокую вложенность для Grandchild = [root_id, parent_id, child_id] (kind=Space)","tests.test_backend.document","Mon Nov 10 09:05:26 UTC 2025","passed","Mon Nov 10 09:05:28 UTC 2025","","test_get_siblings","",""
"","286","Создание документа — кейс: [cyrillic] (ожидается 200)","tests.test_backend.document","Mon Nov 10 09:03:57 UTC 2025","passed","Mon Nov 10 09:03:58 UTC 2025","","test_create_document","",""
"
    Негативный сценарий: разные некорректные document_id.
    ","245","Негативный экспорт Y-Doc для document_id=bad_format","tests.test_backend.document","Mon Nov 10 09:05:58 UTC 2025","passed","Mon Nov 10 09:05:58 UTC 2025","","test_get_y_document","",""
"","261","APP-2763: Ошибка при создании борды с длинным заголовком custom field: TaskRelations","tests.test_backend.board","Mon Nov 10 08:59:23 UTC 2025","passed","Mon Nov 10 08:59:23 UTC 2025","","board_validation_test","",""
"","237","Негативный кейс: documentId=123","tests.test_backend.document","Mon Nov 10 09:04:37 UTC 2025","passed","Mon Nov 10 09:04:37 UTC 2025","","test_get_document","",""
"
    Проверяем что разные роли могут получить списки документов из пространства и проекта.
    Тест параметризован для проверки разных типов клиентов и контейнеров документов.

    Проверяется получение и наличие в ответе всех созданных документов с учетом
    ожидаемого статуса запроса для каждой роли.
    ","1087","Проверка доступа к списку документов в Project для роли owner","tests.test_backend.document.access_doc","Mon Nov 10 09:02:12 UTC 2025","passed","Mon Nov 10 09:02:13 UTC 2025","","test_get_docs_list_access_by_roles","",""
"
    Глубокая вложенность: проверяем цепочку parents.
    ","2717","Проверяем глубокую вложенность для Grandchild = [root_id, parent_id, child_id] (kind=Project)","tests.test_backend.document","Mon Nov 10 09:05:21 UTC 2025","passed","Mon Nov 10 09:05:24 UTC 2025","","test_get_siblings","",""
"
    Проверяет доступ к siblings персональных (Member) документов при разных комбинациях:
    - Создателя документа
    - Просматривающего пользователя

    Проверки:
        1. Создание трёх последовательных документов указанной ролью
        2. Запрос siblings для среднего документа другой ролью
        3. Проверка статуса ответа и корректности данных siblings

    Особенность: к персональным документам имеет доступ только их владелец
    ","2204","Проверка доступа к siblings персонального документа: создатель - member, просматривающий - manager","tests.test_backend.document.access_doc","Mon Nov 10 09:03:29 UTC 2025","passed","Mon Nov 10 09:03:31 UTC 2025","","test_get_siblings_doc_access","",""
