"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 27 10:55:48 UTC 2026","Thu Aug 27 10:55:49 UTC 2026","248","Public API","History","Date Range","","","[Space][Negative] dateRangeStart='08-10-2026' → 400","Невалидный формат даты — 400.

    API принимает только ISO 8601 (2026-08-14T00:00:00.000Z).
    Другие форматы должны возвращать 400 ValidationErrors.
    "
"skipped","Thu Aug 27 10:55:51 UTC 2026","Thu Aug 27 10:55:51 UTC 2026","431","Public API","History","Date Range","","","[Space][Negative] dateRangeStart='123' → 400","Невалидный формат даты — 400.

    API принимает только ISO 8601 (2026-08-14T00:00:00.000Z).
    Другие форматы должны возвращать 400 ValidationErrors.
    "
"passed","Thu Aug 27 10:55:46 UTC 2026","Thu Aug 27 10:55:46 UTC 2026","140","Public API","History","Date Range","","","[Space][Negative] dateRangeStart='' → 400","Невалидный формат даты — 400.

    API принимает только ISO 8601 (2026-08-14T00:00:00.000Z).
    Другие форматы должны возвращать 400 ValidationErrors.
    "
"skipped","Thu Aug 27 10:55:44 UTC 2026","Thu Aug 27 10:55:44 UTC 2026","144","Public API","History","Date Range","","","[Space][Negative] dateRangeStart > dateRangeEnd → 400","dateRangeStart > dateRangeEnd — дата начала позже даты конца.

    Сейчас сервер возвращает 200 + пустой items, но ожидается 400 —
    клиент явно ошибся, лучше сообщить об этом чем молча вернуть пустоту.
    "
"skipped","Thu Aug 27 10:56:02 UTC 2026","Thu Aug 27 10:56:02 UTC 2026","145","Public API","History","History Kinds","","","GetHistory kind='Project' возвращает 200 и items (Project)","
    Проверяем что GetHistory возвращает 200 и непустой items для каждого kind.
    "
"skipped","Thu Aug 27 10:55:50 UTC 2026","Thu Aug 27 10:55:50 UTC 2026","249","Public API","History","Date Range","","","[Space][Negative] dateRangeStart='2026/08/10' → 400","Невалидный формат даты — 400.

    API принимает только ISO 8601 (2026-08-14T00:00:00.000Z).
    Другие форматы должны возвращать 400 ValidationErrors.
    "
"skipped","Thu Aug 27 10:56:00 UTC 2026","Thu Aug 27 10:56:00 UTC 2026","143","Public API","History","Date Range","","","[Project] dateRangeEnd=08-15 — все items < end","Только dateRangeEnd для kind=Project — все items < end."
"passed","Thu Aug 27 10:55:40 UTC 2026","Thu Aug 27 10:55:42 UTC 2026","1662","Public API","History","Date Range","","","[Space] dateRange за пределами данных — пустой items","dateRangeStart в будущем / dateRangeEnd в прошлом — пустой items."
"skipped","Thu Aug 27 10:56:03 UTC 2026","Thu Aug 27 10:56:03 UTC 2026","157","Public API","History","History Kinds","","","GetHistory kind='Task' возвращает 200 и items (Task)","
    Проверяем что GetHistory возвращает 200 и непустой items для каждого kind.
    "
"passed","Thu Aug 27 10:55:52 UTC 2026","Thu Aug 27 10:55:54 UTC 2026","1507","Public API","History","Date Range","","","[Space] dateRange [09:03, 09:04) — start включительно, end исключительно","dateRange [start, end) — items внутри интервала, нет items вне."
"passed","Thu Aug 27 10:56:01 UTC 2026","Thu Aug 27 10:56:01 UTC 2026","255","Public API","History","History Kinds","","","GetHistory kind='Space' возвращает 200 и items (Space)","
    Проверяем что GetHistory возвращает 200 и непустой items для каждого kind.
    "
"passed","Thu Aug 27 10:55:43 UTC 2026","Thu Aug 27 10:55:43 UTC 2026","143","Public API","History","Date Range","","","[Space] dateRangeStart == dateRangeEnd — пустой items","dateRangeStart == dateRangeEnd — нулевой интервал, пустой items.

    API использует полуоткрытый интервал [start, end).
    Когда start == end, условие start <= T < start невозможно — пустой результат корректен.
    "
